#Zeitstempel[ms];BeschleunigungX[m/s2];BeschleunigungY[m/s2];BeschleunigungZ[m/s2];GyroskopX[rad/s];GyroskopY[rad/s];GyroskopZ[rad/s]
1655820539624;-1,028769;3,260663;7,119484;-0,088715;-0,064071;-0,164183
1655820539635;-1,028769;3,260663;7,119484;-0,088715;-0,064071;-0,164183
1655820539645;-1,028769;3,260663;7,119484;-0,088715;-0,064071;-0,164183
1655820539655;-1,19441;3,339902;6,95234;-0,175859;0,185494;-0,252497
1655820539665;-1,19441;3,339902;6,95234;-0,175859;0,185494;-0,252497
1655820539675;-1,19441;3,339902;6,95234;-0,175859;0,185494;-0,252497
1655820539686;-1,43565;3,363403;7,100446;-0,124774;0,202057;-0,248971
1655820539696;-1,43565;3,363403;7,100446;-0,124774;0,202057;-0,248971
1655820539706;-1,43565;3,363403;7,100446;-0,124774;0,202057;-0,248971
1655820539717;-1,751885;3,736621;7,767653;-0,071873;0,200451;-0,109991
1655820539727;-1,751885;3,736621;7,767653;-0,071873;0,200451;-0,109991
1655820539737;-1,751885;3,736621;7,767653;-0,071873;0,200451;-0,109991
1655820539747;-1,751885;3,736621;7,767653;-0,000227;0,037804;0,063966
1655820539758;-1,596923;3,941737;8,026006;-0,000227;0,037804;0,063966
1655820539768;-1,596923;3,941737;8,026006;-0,000227;0,037804;0,063966
1655820539779;-1,596923;3,941737;8,026006;-0,000227;0,037804;0,063966
1655820539789;-1,247504;4,083742;8,788732;-0,054995;0,042446;0,024068
1655820539799;-1,247504;4,083742;8,788732;-0,054995;0,042446;0,024068
1655820539809;-1,247504;4,083742;8,788732;-0,054995;0,042446;0,024068
1655820539820;-1,276473;4,324694;8,984577;-0,105558;0,285134;-0,129311
1655820539830;-1,276473;4,324694;8,984577;-0,105558;0,285134;-0,129311
1655820539840;-1,276473;4,324694;8,984577;-0,105558;0,285134;-0,129311
1655820539850;-1,807852;4,760295;9,302681;-0,08587;0,352661;-0,057072
1655820539860;-1,807852;4,760295;9,302681;-0,08587;0,352661;-0,057072
1655820539871;-1,807852;4,760295;9,302681;-0,08587;0,352661;-0,057072
1655820539881;-1,807852;4,760295;9,302681;-0,08587;0,352661;-0,057072
1655820539891;-2,166255;4,991997;9,551572;0,029496;0,038101;0,089605
1655820539962;-1,724438;5,025794;9,786798;0,029496;0,038101;0,089605
1655820539901;-2,166255;4,991997;9,551572;0,029496;0,038101;0,089605
1655820539972;-1,724438;5,025794;9,786798;0,112556;-0,311454;0,164096
1655820539911;-2,166255;4,991997;9,551572;0,112556;-0,311454;0,164096
1655820539921;-1,72825;4,785204;10,811143;0,112556;-0,311454;0,164096
1655820539931;-1,72825;4,785204;10,811143;0,026686;0,24206;0,044925
1655820539941;-1,72825;4,785204;10,811143;0,026686;0,24206;0,044925
1655820539952;-1,724438;5,025794;9,786798;0,026686;0,24206;0,044925
1655820539982;-1,724438;5,025794;9,786798;-0,118072;0,005358;-0,140132
1655820539992;-2,882849;4,664997;12,046196;-0,118072;0,005358;-0,140132
1655820540003;-2,882849;4,664997;12,046196;-0,118072;0,005358;-0,140132
1655820540013;-2,882849;4,664997;12,046196;-0,118072;0,005358;-0,140132
1655820540023;-2,562093;4,358635;11,175654;0,017715;-0,271695;-0,023387
1655820540033;-2,562093;4,358635;11,175654;0,017715;-0,271695;-0,023387
1655820540044;-2,562093;4,358635;11,175654;0,017715;-0,271695;-0,023387
1655820540054;-2,145559;3,593726;10,386037;-0,034174;0,138248;0,284209
1655820540064;-2,145559;3,593726;10,386037;-0,034174;0,138248;0,284209
1655820540074;-2,145559;3,593726;10,386037;-0,034174;0,138248;0,284209
1655820540084;-2,213957;3,280324;9,333097;0,233892;0,013491;0,270264
1655820540094;-2,213957;3,280324;9,333097;0,233892;0,013491;0,270264
